908.33 reqs/sec

50	270
66	475
75	543
80	619
90	1468
95	1731
98	2607
99	3211
100	8426





cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:25:56.429964276  Counter:    52 ->     1 (    0 running,     0 max)
2023-11-02T14:25:56.544652374  Counter:   124 ->     3 (  121 running,   121 max)
2023-11-02T14:25:56.544652374  Counter:   124 ->     3 (  121 running,   121 max)
2023-11-02T14:25:56.544770685  Counter:   124 ->     6 (  120 running,   121 max)
2023-11-02T14:25:56.54479485   Counter:   124 ->     8 (  119 running,   121 max)
2023-11-02T14:25:56.544813288  Counter:   124 ->     8 (  117 running,   121 max)
2023-11-02T14:25:56.544811891  Counter:   124 ->     8 (  118 running,   121 max)
2023-11-02T14:25:56.556306724  Counter:   148 ->    74 (   75 running,   121 max)
2023-11-02T14:25:56.544813288  Counter:   124 ->     8 (  116 running,   121 max)
2023-11-02T14:25:56.545166266  Counter:   124 ->    11 (  114 running,   121 max)
2023-11-02T14:25:56.54518659   Counter:   124 ->    11 (  113 running,   121 max)
2023-11-02T14:25:56.545284996  Counter:   124 ->    15 (  110 running,   121 max)
2023-11-02T14:25:56.545284996  Counter:   124 ->    15 (  110 running,   121 max)
2023-11-02T14:25:56.54525706   Counter:   124 ->    15 (  112 running,   121 max)
2023-11-02T14:25:56.545306787  Counter:   124 ->    15 (  109 running,   121 max)
2023-11-02T14:25:56.545610527  Counter:   125 ->    17 (  109 running,   121 max)
2023-11-02T14:25:56.545645098  Counter:   125 ->    17 (  108 running,   121 max)
2023-11-02T14:25:56.54622087   Counter:   126 ->    19 (  108 running,   121 max)
2023-11-02T14:25:56.546234559  Counter:   126 ->    20 (  107 running,   121 max)
2023-11-02T14:25:56.546262007  Counter:   126 ->    20 (  106 running,   121 max)
2023-11-02T14:25:56.546532572  Counter:   127 ->    22 (  106 running,   121 max)
2023-11-02T14:25:56.546548705  Counter:   127 ->    22 (  105 running,   121 max)
2023-11-02T14:25:56.546897842  Counter:   128 ->    23 (  105 running,   121 max)
2023-11-02T14:25:56.547097518  Counter:   128 ->    25 (  103 running,   121 max)
2023-11-02T14:25:56.547097518  Counter:   128 ->    25 (  103 running,   121 max)
2023-11-02T14:25:56.547156604  Counter:   128 ->    27 (  101 running,   121 max)
2023-11-02T14:25:56.547158071  Counter:   128 ->    27 (  101 running,   121 max)
2023-11-02T14:25:56.547274915  Counter:   128 ->    28 (  100 running,   121 max)
2023-11-02T14:25:56.547387988  Counter:   128 ->    30 (   99 running,   121 max)
2023-11-02T14:25:56.547428217  Counter:   128 ->    30 (   98 running,   121 max)
2023-11-02T14:25:56.547490725  Counter:   128 ->    31 (   97 running,   121 max)
2023-11-02T14:25:56.547553582  Counter:   128 ->    32 (   96 running,   121 max)
