925 reqs/sec
failed 5029


cd /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom; JAVA_HOME=/usr/lib/jvm/java-1.21.0-openjdk-amd64 /snap/netbeans/84/netbeans/java/maven/bin/mvn -Dexec.vmArgs= "-Dexec.args=${exec.vmArgs} -classpath %classpath ${exec.mainClass} ${exec.appArgs}" -Dexec.executable=/usr/lib/jvm/java-1.21.0-openjdk-amd64/bin/java -Dexec.mainClass=fish.payara.codingdojo.playwithloom.ServerWithLoom -Dexec.classpathScope=runtime -DskipTests=true -Dexec.appArgs= process-classes org.codehaus.mojo:exec-maven-plugin:3.1.0:exec

Some problems were encountered while building the effective settings
Unrecognised tag: 'url' (position: START_TAG seen ...</name>-->\n            <url>... @54:18)  @ /home/aubi/.m2/settings.xml, line 54, column 18

Scanning for projects...

----------------< fish.payara.codingdojo:PlayWithLoom >-----------------
Building PlayWithLoom 1.0-SNAPSHOT
  from pom.xml
--------------------------------[ jar ]---------------------------------

--- resources:3.3.1:resources (default-resources) @ PlayWithLoom ---
skip non existing resourceDirectory /home/aubi/work/payara/doc/edu/coding-dojo/coding-dojos/PlayWithLoom/src/main/resources

--- compiler:3.11.0:compile (default-compile) @ PlayWithLoom ---
Nothing to compile - all classes are up to date

--- exec:3.1.0:exec (default-cli) @ PlayWithLoom ---
Server is listening on port 8080
2023-11-02T14:39:47.168660953  Counter:    98 ->     1 (    0 running,     0 max)
2023-11-02T14:39:47.244059959  Counter:   246 ->     7 (  239 running,   243 max)
2023-11-02T14:39:47.24404627   Counter:   246 ->     7 (  243 running,   243 max)
2023-11-02T14:39:47.244228906  Counter:   246 ->     8 (  238 running,   243 max)
2023-11-02T14:39:47.244357553  Counter:   246 ->     9 (  237 running,   243 max)
2023-11-02T14:39:47.244598436  Counter:   246 ->    11 (  236 running,   243 max)
2023-11-02T14:39:47.244622042  Counter:   246 ->    11 (  235 running,   243 max)
2023-11-02T14:39:47.244687833  Counter:   246 ->    13 (  233 running,   243 max)
2023-11-02T14:39:47.24404627   Counter:   246 ->     7 (  243 running,   243 max)
2023-11-02T14:39:47.244830728  Counter:   246 ->    15 (  231 running,   243 max)
2023-11-02T14:39:47.244824582  Counter:   246 ->    15 (  232 running,   243 max)
2023-11-02T14:39:47.245001071  Counter:   246 ->    16 (  230 running,   243 max)
2023-11-02T14:39:47.24404627   Counter:   246 ->     7 (  241 running,   243 max)
2023-11-02T14:39:47.24510702   Counter:   246 ->    18 (  228 running,   243 max)
2023-11-02T14:39:47.24510702   Counter:   246 ->    18 (  228 running,   243 max)
2023-11-02T14:39:47.24522582   Counter:   247 ->    19 (  228 running,   243 max)
2023-11-02T14:39:47.24404627   Counter:   246 ->     7 (  242 running,   243 max)
2023-11-02T14:39:47.24537577   Counter:   247 ->    21 (  226 running,   243 max)
